cid,g,a,d,i,cl
B,M,2,4,54,0
B,M,2,5,48,0
B,M,2,6,69,2
B,M,2,7,51,1
B,M,2,8,28,0
B,M,2,9,75,1
B,M,2,10,62,2
B,M,2,11,96,2
B,M,2,12,104,1
B,M,2,13,108,1
B,M,2,14,131,2
B,M,2,15,101,1
B,M,2,16,90,0
B,M,2,17,142,1
B,M,2,18,196,0
B,M,2,19,193,2
B,M,2,20,257,3
B,M,2,21,86,1
B,M,2,22,160,1
B,M,2,23,90,0
B,M,2,24,122,0
B,M,2,25,115,1
B,M,2,26,139,0
B,M,2,27,103,2
B,M,2,28,72,1
B,M,2,29,69,0
B,M,2,30,1,0
B,M,3,1,13,0
B,M,3,2,6,0
B,M,3,4,60,0
B,M,3,5,48,0
B,M,3,6,49,0
B,M,3,7,54,0
B,M,3,8,14,0
B,M,3,9,53,0
B,M,3,10,71,0
B,M,3,11,77,1
B,M,3,12,83,1
B,M,3,13,105,1
B,M,3,14,104,1
B,M,3,15,98,1
B,M,3,16,93,0
B,M,3,17,127,1
B,M,3,18,142,0
B,M,3,19,164,0
B,M,3,20,195,0
B,M,3,21,67,1
B,M,3,22,167,4
B,M,3,23,96,0
B,M,3,24,106,1
B,M,3,25,95,1
B,M,3,26,126,0
B,M,3,27,92,0
B,M,3,28,64,0
B,M,3,29,66,1
B,M,3,30,1,0
B,M,4,1,24,0
B,M,4,2,1,0
B,M,4,4,64,0
B,M,4,5,42,0
B,M,4,6,57,0
B,M,4,7,63,1
B,M,4,8,15,0
B,M,4,9,52,0
B,M,4,10,59,0
B,M,4,11,85,0
B,M,4,12,66,0
B,M,4,13,87,0
B,M,4,14,116,2
B,M,4,15,112,0
B,M,4,16,72,0
B,M,4,17,118,0
B,M,4,18,133,1
B,M,4,19,162,0
B,M,4,20,190,1
B,M,4,21,75,2
B,M,4,22,136,1
B,M,4,23,106,0
B,M,4,24,112,1
B,M,4,25,111,1
B,M,4,26,122,0
B,M,4,27,77,1
B,M,4,28,61,0
B,M,4,29,68,0
B,M,5,1,40,0
